route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
5,0616,22038.0::33438.0::422.22222222222223,33798.0::43758.0::368.8888888888889,44238.0::54994.0::448.1666666666667,55414.0::65074.0::371.53846153846155,65434.0::75918.0::361.51724137931035,76638.0::88758.0::508.0
5,0606,22106.0::33506.0::422.22222222222223,33866.0::43826.0::368.8888888888889,44306.0::55075.0::448.7083333333333,55495.0::65155.0::371.53846153846155,65515.0::75986.0::361.0689655172414,76706.0::88826.0::508.0
5,0506,22176.0::33576.0::422.22222222222223,33936.0::43896.0::368.8888888888889,44376.0::54680.0::448.0,55160.0::64880.0::373.84615384615387,65240.0::76056.0::360.53333333333336,76776.0::88896.0::508.0
5,0516,22260.0::33660.0::422.22222222222223,34020.0::43980.0::368.8888888888889,44460.0::54780.0::448.69565217391306,55260.0::64980.0::373.84615384615387,65340.0::76140.0::360.0,76860.0::88980.0::508.0
5,0526,22380.0::33780.0::422.22222222222223,34140.0::44100.0::368.8888888888889,44580.0::54900.0::448.69565217391306,55380.0::65100.0::373.84615384615387,65460.0::76260.0::360.0,76980.0::89100.0::508.0
5,5714,19020.0::29100.0::296.47058823529414,29460.0::38820.0::390.0,39300.0::49200.0::450.0,49680.0::58740.0::348.46153846153845,59100.0::68340.0::369.6,68940.0::79140.0::680.0
5,6177,22560.0::33960.0::422.22222222222223,34320.0::44280.0::368.8888888888889,44760.0::55080.0::448.69565217391306,55560.0::65280.0::373.84615384615387,65640.0::76440.0::360.0,77160.0::89280.0::508.0
10,5921G,19620.0::31560.0::442.22222222222223,31980.0::42060.0::403.2,42540.0::52800.0::446.0869565217391,53220.0::62280.0::377.5,62640.0::71340.0::395.45454545454544,71940.0::83100.0::565.0
10,5916F,19651.0::31192.0::443.88461538461536,31612.0::42101.0::403.4230769230769,42581.0::52841.0::446.0869565217391,53261.0::62321.0::377.5,62681.0::71381.0::395.45454545454544,71981.0::83141.0::565.0
10,5917F,19703.0::31278.0::445.1923076923077,31698.0::42170.0::402.7692307692308,42650.0::52910.0::446.0869565217391,53330.0::62390.0::377.5,62750.0::71450.0::395.45454545454544,72050.0::83210.0::565.0
10,1985G,19800.0::31440.0::447.6923076923077,31860.0::42300.0::401.53846153846155,42780.0::53040.0::446.0869565217391,53460.0::62520.0::377.5,62880.0::71580.0::395.45454545454544,72180.0::83340.0::565.0
